Date,PRS_max,RAINF_max,RH_max,SR_max,TOUT_max,WSR_max,WDV_max,PM2.5_max,PRS_min,RAINF_min,RH_min,SR_min,TOUT_min,WSR_min,WDV_min,PRS_avg,RAINF_avg,RH_avg,SR_avg,TOUT_avg,WSR_avg,WDV_avg,CONT
27/02/2015,724.4,0.08,96,0.122,9.06,17.6,116,28,722.3,0,87,0,3.98,5.4,2,723.3235294,0.015882353,94.41176471,0.029235294,7.402352941,9.523529412,95.29411765,0
27/07/2015,716.9,0,73,0.889999986,36.3,14,116,38,714.5,0,35,0,28.21,9.1,80,715.6454545,0,49.09090909,0.305999999,33.68636364,12.35454545,103.8181818,0
27/06/2015,720.5,0,91,0.829,29.87,9.2,99,54,718.2,0,65,0,22.81,3.5,4,719.2117647,0,77.94117647,0.200882353,26.31352941,6.405882353,62.17647059,1
27/03/2015,726.5,0,69,0.748,25.23,11.7,332,34,722.5,0,24,0,14.87,1.1,9,724.7,0,43.57142857,0.218190476,19.96761905,5.885714286,99.33333333,0
27/05/2015,719.4,0,85,0.012,26.99,15.5,115,37,718.8,0,77,0,24.87,12.8,107,719.225,0,81.25,0.005,25.8325,14.525,109.75,0
27/10/2015,719.5,0,68,0.727,29.58,8.9,325,64,715.4,0,34,0,16.31,1.5,23,717.48,0,50.75,0.2331,24.112,4.56,116.15,1
27/08/2015,722.1,0,88,0.878,33.94,16.8,355,46,718.9,0,33,0,23.29,3.4,1,720.4625,0,52.6875,0.2791875,29.366875,9.00625,102,1
28/04/2015,722.8,0,59,0.804,23.65,13.3,360,37,716.2,0,39,0,16.38,3.6,2,719.4555556,0,49.33333333,0.205611111,19.63388889,10.05555556,231.8333333,0
28/01/2015,723.8,0,63,0.54,24.57,13.1,354,56,721.4,0,34,0,14.07,1.4,11,722.575,0,49.125,0.133541667,19.25791667,5.0625,182.0833333,1
28/02/2015,724.3,0.01,96,0.42,12.25,7.4,356,53,721.7,0,76,0,4.02,3.2,9,722.8,0.001538462,88.46153846,0.101538462,8.938461538,4.753846154,115.4615385,1
28/07/2015,718.4,0,85,0.878000021,36.49,13.7,138,48,715.6,0,32,0,24.23,4.4,18,717.2434783,0,61,0.274608696,29.89695652,8.808695652,92.17391304,1
28/06/2015,721.1,0,88,0.857,30.5,12.2,345,35,718.1,0,61,0.001,21.88,3.4,14,719.7105263,0,72.52631579,0.255631579,27.06105263,7.968421053,86.31578947,0
28/03/2015,724.2,0,64,0.765,27.29,13.7,351,66,720.2,0,38,0,12.88,2.8,20,722.5318182,0,46.95454545,0.215,20.35272727,6.854545455,152.8636364,1
